uid,text,Extracted problems
EP3553920A1,"This proved to be successful from a thermal point of view however, it carries some disadvantages: the lamination design increases the iron losses and reduces the output power. Further, the size of ducts cannot be reduced indefinitely: created have a minimum size below which they would get clogged by resin during a Vacuum Pressure Impregnation (V.P.I) process",it carries some disadvantages: the lamination design increases the iron losses and reduces the output power
EP3560075A1,"The prior art solutions may have the drawback, that the performance is not satisfactory or manufacturing, transport and/or assembling is difficult without introducing damage to portions of the systems",Low power factor
EP3633190A1,"Disadvantages associated with the first configuration are that it is weak in bending around a horizontal axis running at right angles with respect to the axis of rotation of the main shaft. The second configuration is disadvantageous in that it is difficult to access the bearings and corresponding seals, for example, for maintenance purposes",difficult to access the bearings and corresponding seals
US8558405B2,"SSOs distort the voltages and currents on the transmission system, and are typically expensive and difficult to filter out",difficult to filter out
EP2940297A1,"Consequently, such a transformer would significantly increase the weight of the nacelle and thereby draw disadvantages with regard to the design of the wind turbine and its intended operation",disadvantages
EP3261209A1,"To optimize these parameters, a nonlinear optimization problem is defined.",nonlinear optimization problem
DE102010039590A1,"Due to the increasing size of the wind power generators, which inevitably entail the higher performance of these systems, their assembly becomes increasingly difficult",their assembly becomes increasingly difficult
CN103427569B,Related another challenge is inherently to lack just with large scale structure (such as several meters of diameter cylindrical hollow rotor) Property and caused deformation, inherent lack of rigidity and resulting deformation
WO2020048732A1,"A disadvantage is that by the rollers, the surface of the generator may be damaged. Furthermore, the system is expensive due to multiple moving parts and motors.",the surface of the generator may be damaged
US10316826B2,"A disadvantage herein is that due to the high torque that is conducted directly into the generator from the wind rotor, the generator and, in particular, the rotor of the generator have a comparatively large diameter.",high torque
WO2018134044A1,"Disadvantages are, inter alia, the structurally complex solutions that also make it difficult to cool the stator of the external rotor generator .",difficult to cool the stator of the external rotor generator
EP3116089B1,"However, disadvantages of such an AC-DC conversion are that the high power AC-DC converter is a complex, large and extremely heavy entity","the high power AC - DC converter is a complex, large and extremely heavy entity"
EP2508753B1,The disadvantage here is that the drive train requires a relatively large amount of space and has a complex design due to the large number of components,the drive train requires a relatively large amount of space and has a complex design
DE19955586A1,The disadvantage of this is the increased level of automation sentence and the complex regulation.,increased level of automation sentence
EP3460272A1,"Conventional roller bearings suffer from a very difficult replacement, as the drive train, the generator of the direct drive turbines and/or the hub with the blades need to be disassembled",Conventional roller bearings suffer from a very difficult replacement
EP2378634A1,The geometry corresponds to the half-cycle arc of a sine curve. It is very difficult and expensive to manufacture this geometry,It is very difficult and expensive to manufacture this geometry
DE102013213263A1,"An example of such a component is a high voltage system with power converters. Such high voltage systems have a large number of electrical components, which are at high voltage potential, with the high voltage potential of individual modules differs. The power supply of such assemblies is therefore difficult and expensive",The power supply of such assemblies is therefore difficult and expensive
DE102008029377B4,A disadvantage of direct network connection is that the reactive power requirement the network is not over a variable excitation of the rotor can be adjusted,reactive power requirement the network is not over a variable excitation of the rotor can be adjusted
DE102004027534A1,"As from the article by Dieter Seifert ""Electric energy converters for off-shore Wind turbines ""known, is the transmission the rotor power over brushes and Slip rings and the associated maintenance costs a significant disadvantage",the transmission the rotor power over brushes and Slip rings and the associated maintenance costs a significant disadvantage
JP2012092970A,"However, the gap cannot be arbitrarily enlarged. Large radial tolerances on the main bearing can lead to problems with large looseness, and bearing problems of side or smear promote roller adhesive wear.","large looseness, and bearing problems of side or smear promote roller adhesive wear"
EP2607684A1,This shows the disadvantage that there are no gravitational forces to support the rotation before the connection between the hub and the first rotor blade is established,there are no gravitational forces to support the rotation
US9948103B2,"The optimization problem is in this case defined on the basis of a condition for the modeled steady state of the electrical grid, wherein, when the condition is met, the phase differences between the voltages of adjacent nodes (i.e. between nodes which are connected to one another without any further nodes interposed) are in each case less than or less than or equal to a maximum phase value",optimization
US6777841B2,"Owing to the contactless bearing, the known magnetic bearings always have a continuous bearing gap, and gas and vapor can thus pass through them between the two sides which are connected by the bearing gap. Environmental air and moisture contained in it can thus enter the bearing gap, or can reach the rotor through the bearing gap. This results in the risk of the air humidity freezing on the cold components of the magnetic bearing or else of the rotor, if this is cooled, with such icing resulting in a restriction to operation, or even in damage to the magnetic bearing. Furthermore, the cooling processes with liquid coolant (cryogenic medium), in general liquid nitrogen, which are used exclusively for the superconductors of the described magnetic bearing according to the related art, are generally also subject to sealing problems in the region of the sensitive magnetic bearings, in addition to the problem of any moisture that has entered freezing on the cryogenic medium supply lines that are required, once again increasing the risk of icing or of other malfunctions of the magnetic bearing.. As a further measure, a cooling device having at least one cold head, which is thermally coupled to the superconductor and dissipates heat from the superconductor mainly by thermal conduction as the heat transfer mechanism, is now provided for cooling the superconductor of the magnetic bearing or of each magnetic bearing. The use, as proposed, of a cold head (which in principle is known per se) for indirect cooling of the magnetic bearing is a considerably simpler solution in terms of design and handling than the direct cooling, as provided in the related art, via a liquid cooling medium. A cold head can easily be fitted to the magnetic bearing as a connecting piece for heat transmission. Furthermore, the use of one or more cold heads ensures deliberate cooling of the superconductor in the magnetic bearing and avoids the problems of the emergence (which can never entirely be avoided) of cryogenic liquid and the uncontrolled thermal conditions that result from this, with the risk of icing of the magnetic bearings as a result of freezing of residual moisture in the gas atmosphere or of moisture contained in the evaporated cryogenic medium.. The gas area of the device, in which the rotor and the magnetic bearing are arranged, is generally filled with a gas or a gas mixture which is used for thermal conduction for cooling of those components which need to be cooled and for this purpose makes contact with them and is therefore also referred to as the contact gas. This gas generally remains in the gas area throughout the operating life of the device. The contact gas is therefore in one advantageous embodiment an inert gas or a mixture of inert gases, with helium or neon being preferable, although nitrogen can be used for correspondingly high operating temperatures. Furthermore, in principle, hydrogen or oxygen are also suitable, although their handling is somewhat more problematic.. The gas pressure of the gas in the gas area in one advantageous embodiment is preferably at least as high as, and preferably higher than, the gas pressure in the outer area surrounding the wall of the gas area, in general atmospheric pressure. Even in the event of sealing problems or leakages in the area of the gas area wall, this reliably prevents the ingress of moist air and the possibility of ice being formed in consequence in the cold area.",any moisture that has entered freezing on the cryogenic medium supply lines that are required
US6628005B2,"With 50 Hz and 60 Hz synchronous applications, the turbine is usually required to operate at the delivery current Hz, e.g., at 3000 revolutions per minute (rpm) or 50 revolutions per second (rps) for two-pole 50 Hz applications and 3600 rpm or 60 rps for two-pole 60 Hz applications. If the turbine is rotated at a frequency other than synchronous, e.g., due to frequency variations, the blades in a turbine element, e.g., a low pressure turbine element, may resonate at their natural frequency. Blading mechanical fatigue can then result with subsequent damage and failure. Such problems can be expensive and time consuming to repair and can cost down time for the power generation system.",Blading mechanical fatigue
CN104094506B,"Generator for large-size machine（Such as more megawatts of wind turbine generators）With bigger diameter, and again
 Amount can readily exceed ten tons or more.The physical size and weight of this high-rating generator cause problem during its assembling.
 Processing it is heavy, clumsy and fragile component it is complicated and time-consuming and still dangerous, to have to comply with stringent peace
 Full regulation.This significantly increases overall time and cost needed for the generator that assembling directly drives again.",The physical size and weight of this high - rating generator cause problem
EP2573384B1,This shows the disadvantage that there are no gravitational forces to support the rotation before the connection between the hub and the first rotor blade is established. Furthermore the gravitational force of a first rotor blade will support the rotation into a second position only for a part of the,there are no gravitational forces to support the rotation
WO2018041541A1,"There is a worldwide trend in the electrical energy supply sector to increasingly rely on renewable energies. However, since the economics of renewable energy generation facilities are highly dependent on their location, such as: In offshore wind turbines, the problem increasingly arises that electrical energy must be transported over long distances. For the transport of electric",electrical energy must be transported over long distances
DE102012208863A1,"Especially with gearless wind turbines, the generator bearing must be mechanically stiff in order to maintain the air gap between the rotor and stator. Consequently, the generator bearing must be able to withstand loads, in particular bending loads, which originate from the rotor blades attached to the rotor hub and / or from the magnetic interactions between rotor and stator. The constant maintenance of the air gap is often problematic.. Furthermore, the principle of the invention provides a simple method to keep both the rotor and the stator constant in radial positions, i. H. there are no problems in maintaining a respective radial gap in the form of an air gap between the rotor and the stator. In contrast, the radial distance between the rotor and stator is simply defined by the radial distance between the inner and the outer ring of the generator or the relevant generator.",The constant maintenance of the air gap
WO2018028868A1,"There is a worldwide trend in the electrical energy supply sector to increasingly rely on renewable energies. However, since the economics of renewable energy generation facilities are highly dependent on their location, such as: In offshore wind turbines, the problem increasingly arises that electrical energy must be transported over long distances. For the transport of electric",electrical energy must be transported over long distances
CN106050565B,"Use permanent-magnet machines performance application (namely using high power permanent-magnet synchronous generator wind-force whirlpool
 Turbine, wherein the space harmonics of inductance and magnetic flux may cause high torque pulsation) in, the reduction of noise and vibration is common
 Problem.. In general, this problem will be addressed in the machine design phase.However, possibly can not due to the limitation of manufacture
 Manufacture the machine of not noise/vibration.Therefore, control strategy and scheme are necessary, and are wanted to meet noise/vibration
 It asks.",the reduction of noise and vibration
EP2887499B1,"One known technical problem of permanent magnet electromechanical generators is thermal load acting on the respective permanent magnet material. Specifically, waste heat being generated by stator coils of a stator of a permanent magnet electromechanical generator and by the stator iron core can cause the permanent magnet material to be heated up such that there is a serious risk of a demagnetization of the PM material. Such a demagnetization would dramatically decrease the performance of the respective electromechanical generator.",thermal load acting on the respective permanent magnet material
EP2626558B1,"Usually, this problem is addressed by performing surveillance and maintenance work on the main shaft at regular time intervals. This is achieved by maintenance personnel entering the wind turbine which needs to be shut down for safety reasons. The maintenance personal typically performs non-destructive measurements such as ultrasonic probing of the main shaft. The ultrasonic testing is performed with the help of portable ultrasound probes or transducers and diagnostic devices connected. It is an object of the present invention to address the problem of fatigue of material occurring in main shafts of wind turbines in a cost-efficient way.",Shaft fatigue
EP2574774B1,This shows the disadvantage that there are no gravitational forces to support the rotation before the connection between the hub and the first rotor blade is established. Furthermore the gravitational force of a first rotor blade will support the rotation into a second position only for a part of the rotation. In a certain second part of the rotation the rotation needs to be performed against the gravitational forces of the first rotor blade. Thus the described method is not reliable enough to perform the rotation of the hub during the installation of the rotor blades.,there are no gravitational forces to support the rotation
JP6124508B2,"Wind turbine bearings have a gap of about -0.1 to 0.2 mm. In order to control the generator life and air gap, it is advantageous to control the gap. The problem is that the inner ring of the bearing is heated and expands, which reduces the life of the bearing. The reason for heating is that the inner ring of the combined shaft structure has a smaller mass / rigidity compared to the mass / structure of the outer ring.",the inner ring of the bearing is heated and expands
US8558423B2,"The inventive stator-arrangement solves the problem of overheating which may lead to a reduction in the generator power or in the worst case to a destruction of the generator by means of the cooling means separately located in each stator segment. The cooling means provides proper cooling of the stator segment as a cooling medium favourably a liquid cooling medium such as water for instance, dissipates heat from the stator segment.. Preferably, at least the end windings of each stator segment and the cooling means are at least partially encapsulated by a thermally conductive material. In such a manner, problematic heat accumulation in particular at the end windings may be prevented by means of the thermally conductive material building a thermal bridge as it conveys heat from these “hot spots” to the cooling means. Aside, it is possible that other parts or even the entire stator segment is encapsulated by a thermally conductive material. The thermally conductive material may be a thermally conductive resin. The resin may comprise thermally conductive fibres or other additives enhancing the thermal properties in terms of heat conveyance. The resins are regularly easy to process by casting and subsequent curing. The thermally conductive resin behaves as an electrical isolator. Other thermally conductive material such as thermally conductive and electrically insulating foams for instance may be used as well.",overheating
DE19620906C2,"Feeding in with the stochastic primary energy
 Sluggish wind generated electrical energy in a regional
 Supply network is not without problems. From the essay
 ""Conditions for connecting wind turbines to a
 regional electrical power supply network "", printed in the
 DE magazine ""ELEKTRIE"", Berlin 49 (1995) 5/6/7, pages 249
 up to 253 there are technical requirements for wind
 energy parks. The requirements set out in this article
 Wind turbine systems relate to power
 or voltage changes, power fluctuations, network flicker
 and provide information on a wind's short-circuit criteria
 energy parks.. Another disruptive factor is the flicker problem. By lei
 fluctuations in supply arise fluctuations in supply
 tension. These voltage fluctuations cause, among other things
 Rem fluctuations in brightness in incandescent lamps and fluorescent
 lamps, which are also called ""flicker"". Because the human
 Eye must be very sensitive to this ""flicker""
 the magnitude and frequency of the voltage fluctuations are narrow
 zen. This flicker problem can only then
 be reduced if between the aggregate consisting of
 Rotor and generator, and a medium-voltage network an intermediate
 Schenkreis combined with a power control available
 is. As already stated, the wind turbine
 Power regulation slow. Since parallel operation of the
 Can provide wind turbines at a wind farm
 the interference of the single flicker in the central chip is very difficult
 network can be predicted or suppressed.. and a slow power control through the adjustable rotor blades are present, the flicker problem can be reduced. However, it is very difficult to predict or suppress the interference of the individual flicker in the regional supply network.. The invention is based on the object of a wind
 energy park with several wind turbines to specify at
 which the existing disadvantages of the known concepts for
 Wind energy parks no longer occur.",flicker problem
US10006442B2,"In both instances, accommodation of an oil reservoir is generally very complex and expensive, since providing installation space is problematic.",providing installation space is problematic
US9593672B2,"The fixed-speed wind turbine is simple, reliable, low-cost and proven. But its disadvantages include uncontrollable reactive power consumption (as required to generate the stator rotating flux), mechanical stresses, limited control of power quality and relatively inefficient operation. In fact, wind speed fluctuations result in mechanical torque fluctuations that can result in fluctuations in the electrical power on the grid.",uncontrollable reactive power consumption
US9551325B2,"This shows the disadvantage, that more and heavier bolts are needed in a wind turbine and more installation time is needed for tightening the bolts.",more and heavier bolts are needed in a wind turbine and more installation time is needed for tightening the bolts
US9178357B2,"Power generation stations located remote from a load require transmission systems capable of efficiently transmitting the generated power from the power generation station to the load. Such systems include but are not limited to, for example, a remote wind turbine generator located in the sea, and a power grid located on land. Often a transmission cable of the transmission system must be located either submarine or subterranean in order to efficiently span a distance between the two. In addition, often the power generation station produces alternating current (“AC”) electrical power, and often the load requires AC power. However, the transmission of AC power over long distances can be problematic.",the transmission of AC power over long distances
CN103987963B,"It is well known that it is typically to weld steel or cast iron to manufacture platen with solid metal.These types of prior art
 Construction can be manufactured largely, but be had the disadvantages that：Compared with weight, they only provide medium structural behaviour.",they only provide medium structural behaviour
US20130027994A1,"The fixed-speed wind turbine is simple, reliable, low-cost and proven. But its disadvantages include uncontrollable reactive power consumption (as required to generate the stator rotating flux), mechanical stresses, limited power quality control and relatively inefficient operation. In fact, wind speed fluctuations result in mechanical torque fluctuations that then result in fluctuations in the electrical power on the grid.. are used for different wind turbine applications, including both asynchronous (induction) generators (e.g., squirrel cage, wound rotor and doubly-fed induction generators) and synchronous generators (e.g., wound rotor and permanent magnet synchronous generators). Advantageously, the induction generators are relatively simple and inexpensive, but disadvantageously the stator requires a reactive magnetizing current and therefore consumes reactive power from the grid.",uncontrollable reactive power consumption
EP2645534B1,"One known technical problem of PM electromechanical transducers is thermal load acting on the respective permanent magnet material. Specifically, waste heat being generated by stator coils of a stator of a PM electromechanical transducer can cause the PM material to be heated up such that there is a serious risk of a demagnetization of the PM material. Such a demagnetization would dramatically decrease the performance of the respective electromechanical transducer.",thermal load acting on the respective permanent magnet material
CN102684345A,"Thereby be attended by great heat density usually such as the running of the motor of generator and cause having big temperature gradient in the stator.That is to say, will inevitably run into specifically in stator region, produce, promptly by problems of excessive heat that so-called copper loss caused.Therefore, be known that and provide corresponding stator setting so that the suitable cooling to stator is provided with corresponding cooling component.",excessive heat
EP2605371B1,"One known technical problem of PM electromechanical transducers is cogging torque. Cogging torque is produced between the rotor mounted permanent magnets and the stator coils due to a meeting of ""sharp edges"" of the rotor magnets and the stator coils when the PM electromechanical transducer is in operation. Cogging torque is an undesired effect that contributes to an output ripple (also called torque ripple), to vibrations, and/or to noise in an electromechanical transducer.
 . There may be a need for improving the performance of the magnetic material being used in a PM electromechanical transducer without increasing the disadvantageous effects of cogging torque.. The provided rotor assembly is based on the idea that with the above described magnetic component part a rotor assembly for an electromechanical transducer can be built up, which allows to design a PM electromechanical transducer having a smaller effective air gap than known PM electromechanical transducers wherein the shape of the permanent magnets has rounded edges for e.g. reducing disadvantageous cogging torque effects.",cogging torque
DE102008013415A1,"The
 from a conventional one
 Wind turbine produced electric power is subject to characteristic
 periodic fluctuations. These fluctuations are caused by
 that whenever, when
 a rotor blade of the plant in front of the tower passes through it through the air jam
 in front of the tower (windward slipstream) for a moment much less
 Absorbs energy. The periodic fluctuations in the power grid
 fed-in power pose a problem with grid compatibility
 the wind turbine. The fluctuating energy absorption of the rotor blades acts
 Furthermore, as a mechanical alternating load on the construction of the
 Wind turbine off.",grid compatibility the wind turbine
US9605656B2,"One technical problem of PM electromechanical transducers is cogging torque. Cogging torque is produced between the rotor mounted permanent magnets and the stator due to a meeting of “sharp edges” of the rotor magnets and stator coils when the PM electromechanical transducer is in operation. Cogging torque is an undesired effect that contributes to an output ripple (also called torque ripple), to vibrations, and to noise in an electromechanical transducer.. A further disadvantage of skewing permanent magnets is the matter of fact that most skewing patterns produce an unwanted axial force on the rotor assembly. Such an axial force is detrimental to acoustic noise, to the vibrational behavior, and to the lifetime of bearings.",cogging torque
CN102606398A,"This means that not only the system of the pneumatic or hydraulic pressure of the braking device in the wind turbine but also cooling or filtrating equipment all bring the expense of high technology and material aspect.Therefore bring high cost, the inner problems such as structure space, weight and cost in wind turbine equipment cabin on the material.Although these expenses, (above-mentioned) braking device that uses at present because the inertia of hydraulic pressure or pneumatic transfer mechanism and since the electromagnetic valve quality difference that is difficult to monitor still can only be very difficult to guarantee to obtain fully and accurate control.. In the braking device scope, use key-operated brake to compare and have many important advantages with the braking device of common in the prior art above-mentioned form.Especially to point out, expend littler power perhaps can realize braking device through this power bigger braking effect in order to brake common needs.Can very accurately control key-operated brake in addition and need not pipe-line system hydraulic pressure or pneumatic, can avoid above-mentioned a large amount of technical problems of this system thus.Certainly the filtration that need not transmitting fluid especially fully with and cooling.Replace, in key-operated brake, need actuator, it moves scotch like this, makes to produce desired braking effect, reduces present braking effect in other words thus.. Therefore the key-operated brake that in the wind turbine scope, uses also is effective especially except this advantage, because the power that produces size and the potential heat of passing through the frictional force generation generate much larger than the application in car.Full-automatic and do not have machinery realization again with do not coexist braking in the wind turbine of automobile in addition with regulating, and actuator finally is people, driver when break moves in automobile.This means, when the power train braking of wind turbine, propose obviously higher requirement than the reliability in automotive field for the absolute reliability that keeps braking force.But inventor's test provides; The operation of key-operated brake in wind turbines is so reliable; To such an extent as to it can be to use there; These advantages even also improve in this commercial Application wherein: at first, the problems referred to above in according to the braking device of existing technology than obviously more outstanding in the technical application in the internal-combustion engine of about 100kW order of magnitude, because the wind turbine of modern structure form definitely has the rated power above 1MW.The second, bigger structure space is used for braking device because the size of equipment also exists obviously, therefore finally can use the key-operated brake of simple structure form more and even also bring better saving in space effect.Therefore for example brake disc is correspondingly obviously bigger and therefore the acting surface of the scotch that more is used for key-operated brake be provided than the situation in automobile engine nacelle in wind turbine.The 3rd, the power transmission of the break from the actuator to reality here has obvious more important role than in automotive field.At last, key-operated brake since its obviously more refined control property possibility is provided, promptly play the additive effect of vibration damping vibration, as the following that kind of also wanting illustrated in detail.Do not relate to principle simple conversion in the present invention from a technical field to another technical field; And the system that relates in the intermediate technology field, to use is for the successful remodeling of commercial Application; What wherein be worth expectation is to overcome a large amount of extra obstructions (the for example size of the order of magnitude, power and jarring effect).","structure space, weight and cost in wind turbine equipment cabin on the material"
US8643208B2,"Another problem is presented by torque ripple, which is the sum of cogging torque and the additional torque variations caused by harmonics in the air gap flux of the machine. Sources of these harmonics are usually the iron of the stator, the distances between rotor magnets and stator, etc. Choosing the number of stator slots to be a multiple of the number of magnets can help reduce the torque ripple by some amount. However, torque ripple can still have a detrimental impact on the efficiency, life time and noise level of the generator.",torque ripple
DE102014226680A1,"Local geometric deformations of the rotor or the rotor body have a change in the air gap between the rotor and the stator, d. H. between a respective rotor base body and a respective stator main body result. Such changes in the air gap are particularly problematic because they cause a cyclic fatigue loading situation.. To overcome these problems, larger air gaps have been proposed. However, increasing the air gap drastically reduces the efficiency of the electric generator, d. H. typically results in a reduction in the energy output of the electric generator.",Changes in air gap
CN105634170A,"One of known chiller has a problem in that the path being easiest to will always be followed by gaseous coolant, and this causes insufficient cooling of winding overhang. Why such reason is in that in the chamber that winding overhang extends between electromotor and generator housing. Staggered winding ends extends to certain distance outside the end of stator, and the half-turn of outermost winding is effectively presented as the barrier to any gas cooling medium or encumbrance. Due to a variety of causes, chamber between outer end and the generator housing of winding overhang is necessary, for instance because of design tolerance etc., or longer generator housing can be designed to hold longer stator afterwards, but house shorter stator at first so that chamber is relatively large at first. In described chamber, gaseous coolant will tend to flowing only around winding overhang to the road of air gap at it, thus effectively walking around compact winding overhang. As a result, the temperature in winding overhang can significantly than the temperature heat of the winding halfbody between stator teeth. As indicated above, the power output of electromotor is by temperature limiting the hottest in winding. Additionally, the conductivity of winding ends increases along with their temperature and reduces, therefore increase the hot dependent loss of electromotor.",insufficient cooling of winding overhang
US9803694B2,The bearing of a wind turbine has a clearance of approximately −0.1 to 0.2 mm In order to control the lifetime and air-gap of the generator it is advantageous to control the clearance. The problem is that the inner ring of the bearing heats up and expands which leads to reduced lifetime of the bearing. The reason for the heat up is that the inner ring of the bearing together with the shaft structure has a small mass/stiffness compared to the mass/structure of the outer ring. This means that the average temperature of the inner ring is higher than the average temperature of the outer ring and structure around the outer ring.,the inner ring of the bearing heats up and expands
JP4073956B2,"According to the present invention, this problem is a control system for controlling the rotational speed of a power generation turbine, and PI adjustment that can be supplied with a deviation signal that is uniquely related to the difference between the target value of the rotational speed and the current value. This control circuit can be connected to a control element used for rotational speed control, and is used for rotational speed control during no-load operation and / or separation operation of the turbine. In the case of supplying the closing signal to the control element, the output signal of the control circuit is limited by the maximum output signal value that can be given in advance, and when the maximum output signal value is obtained, the I of the PI regulator is obtained. The output signal of the regulator is automatically limited to zero, and the proportional constant of the P regulator of the PI regulator is such that the output signal of the I regulator of the PI regulator is zero when there is a predetermined minimum deviation signal. Control system chosen to take It is more resolved.",a control system for controlling the rotational speed of a power generation turbine
EP3485163B1,"The conventional direct cooling systems have some disadvantages, in particular regarding reliability of the operation of the generator or reliability and safety of the operation of the cooling system.. Thereby, it may be ensured to cool the generator portions with clean air containing relatively low amounts of dissolved salt. Therefore, corrosion problems of portions of the generator, such as stator portions and/or rotor portions, may be reduced.",corrosion
EP2757663A1,"This leads to a very heavy conventional rotor 1001 such that also manufacturing costs and manufacturing complexity rise. Furthermore, the heavy conventional rotor 1001 may be segmented in order to be able to manufacture such a heavy conventional rotor 1001. The segmentation of the conventional rotor 1001 may lead to severe noise and vibration problems.",noise and vibration problems
CN111130234A,"The segment circumferential gap often leads to problems with undesired harmonics of the torque and output power of the electrical machine, which may lead to high levels of vibration and acoustic noise as well as losses and complex control. Therefore, to minimize the adverse impact on performance, it is important to control the shape and size of the circumferential gap.",undesired harmonics of the torque and output power of the electrical machine
US10677226B2,"The conventional direct cooling systems have some disadvantages, in particular regarding reliability of the operation of the generator or reliability and safety of the operation of the cooling system.. Thereby, it may be ensured to cool the generator portions with clean air containing relatively low amounts of dissolved salt. Therefore, corrosion problems of portions of the generator, such as stator portions and/or rotor portions, may be reduced.",corrosion
DE102014200394A1,"A known technical problem of electrical machines including electrically excited machines is the cogging torque. The cogging torque is due to the interaction between the rotor poles and the stator slots due to the fact that the rotor tends to move from the high resistance position to the lower resistance position. The cogging torque is an undesirable effect that results in output ripple (also called torque ripple), vibration and / or noise in an electromechanical energy converter.",cogging torque
EP2403108A1,"As mentioned, the current cooling solutions involve the use of multiple additional components in the nacelle that ultimately all lead to increasing the weight of the tower top components of the wind turbine. Therefore, the present solutions to the problem of providing efficient cooling of the components within the nacelle all go counter to the efforts of reducing the weight of the tower top components of the wind turbine. Alternative solutions are needed for cooling the rotating elements of the wind the turbine and that do not place an additional weight burden onto the tower top.",providing efficient cooling of the components within the nacelle
EP3456961A1,"Wind turbines are installed at locations with varied weather conditions. When installed at cold locations, icing on any exposed part of a wind turbine, especially on a rotor blade of the wind turbine, can occur and cause decreased performance of the wind turbine resulting into production losses. Furthermore when ice accumulates on one or more of the rotor blades of a wind turbine, excess vibration problems from uneven blade icing may occur. The accumulated ice may generate excessive mechanical loads on the wind turbine rotor blade posing problems to structural integrity of the rotor blade and leading eventually to wind turbine shut-down or to wind turbine faults.. Problems related to icing of rotor blades of wind turbines can be prevented by at least one of two different measures: a first measure is de-icing in which accumulated or accreted ice from the rotor blade is removed, and the other measure is anti-icing in which accretion or accumulation of ice on the rotor blade is avoided or obviated.",excess vibration problems
US20110285142A1,"The aforementioned type of insulation used in the slot of the machines with conventional windings, results in different disadvantages: Poor heat transfer coefficient of the insulation makes it very difficult for the main source of heat in the generator, i.e. the windings, to get cooled down through the neighbouring laminations. Using the required insulation in the slots decreases the slot space for the active material, which is usually copper, and thereby the so called fill factor. This in turn reduces the out put torque for the same current density or decreases the efficiency for the same torque. A typical value of fill factor for conventional type of winding is in the range of 70-80%.",Poor heat transfer coefficient
CN104806458B,"In direct drive wind turbines with external rotors, the magnets are not accessible to such internal cooling circuits. Prior art direct drive external rotor wind turbines therefore rely on convective cooling to cool the rotor as it rotates through the ambient air. However, the cooling effect is limited. Direct cooling of the magnets becomes difficult because they are mounted in the outer rotor and access to the magnet surface is limited to a very narrow air gap between the magnets and the windings on the inner stator. Therefore, prior art cooling mechanisms are characterized by poor performance relative to their ability to cool permanent magnets in the external rotor of a direct drive wind turbine. Furthermore, in air cooling systems, the stator windings dissipate heat to the air flow directed through the windings. This heated air in turn gives off heat to the magnets which have been heated by the thermal radiation given off by the windings, thereby exacerbating the problem.. It is therefore an object of the present invention to provide an improved cooling mechanism which overcomes the above mentioned problems.",Direct cooling of the magnets becomes difficult
US20110285140A1,"The aforementioned turn-turn insulation used in the slot of the machines with conventional multi-turn windings, results in different disadvantages: Poor heat transfer coefficient of the insulation makes it very difficult for the main source of heat in the generator, i.e. the windings, to get cooled down through the neighbouring laminations. Using the required insulation in the slots decreases the slot space for the active material, which is usually copper, and thereby the so called fill factor. This in turn reduces the out put torque for the same current density or decreases the efficiency for the same torque. A typical value of fill factor for conventional type of winding is in the range of 70-80%.",Poor heat transfer coefficient
EP3054565A1,"In one approach to cooling such a generator, a gaseous coolant such as air can be blown into the air-gap, where it absorbs heat from the windings. The warmed air can then be expelled from the generator. Alternatively, the air can pass from the air-gap through radial channels in the stator body and into the stator interior. In one type of generator design, a pair of windings is arranged between adjacent stator teeth, leaving an axial channel between the windings, and the cooling airflow can enter this space to absorb heat from the windings. A problem with this type of cooling arrangement is that the gaseous coolant will always follow the easiest path and may therefore not always reach the hot winding regions. This leads to an insufficient cooling of the windings.",an insufficient cooling of the windings
US20190277263A1,"Considerable quantities of heat can be generated during operation of a wind turbine. A primary source of heat is in the windings of the generator, since these are generally thick copper conductors that carry very high currents. Since the performance of a generator can decrease if the temperature in the windings becomes too high, various systems have been developed to ensure that the generator temperature remains at an acceptable level. Generally, some fluid coolant is used to absorb heat from the generator. For example, a cooling system can be realized to draw cool air through the generator air gap so that the air absorbs heat from the windings and magnets. The advantage of such a cooling arrangement is that the coolant—air—is readily available and can be easily guided through the very narrow generator air-gap. However, a problem with this type of cooling arrangement is that any moisture or airborne particles in the air can cause damage to the generator. Also, it is not always practicable to remove moisture and salt from cold air, so that the relative humidity of the air entering the generator can exceed a desired level. Moisture and salt carried in the air can lead to corrosion damage and problems with electrical circuits.",any moisture or airborne particles in the air can cause damage to the generator
